3 4 E E N E S O N E N O S N E E N N O E E O 1 
2 1 E N N S O S S O E S S S O E N O N O O O 1 
-4 1 N O E S N N O N N O O N O E O E S E S E 1 
3 4 O S N S N E E O O O O O O E N N N O N E 1 
2 4 S S O S N O S E N O E N O N S E S E N E 1 
-13 4 O O O E N S E E E O O S S N S E S S S S 0 
4 -1 E N O N N O O S S E E S S E E E O N O O 0 
-16 6 S S N E N O O N E E O E E N S N N N E O 0 
-12 18 E S E N E S E O E E O O O N N N O O E S 0 
10 8 S S E O O S O S S O O O E E E E E N N E 0 
3 9 S S N E N N O O S E N S S S E E E O E S 0 
-18 -10 E N S N O N N S O S O N S E O E N S O E 0 
-15 -13 E E E O O E E N N S N O N N S N E E E O 0 
6 -13 N N O E N O N O S E N N N O S N N N S E 0 
9 5 E N E S S E S S E O S E S N S O N O S E 0 
-4 -19 O N E N N E S S E E N O N N O N S S O O 0 
17 -13 O O N O S O S S E E E O O O E N O S N E 0 
9 -15 S E N O S N S O O O O E N N N E E E O E 0 
13 15 O O S O S N S O E E N O S E N S E O N N 0 
5 9 S E E S E O E E N O N N S N E N E S S S 0 
-9 -13 S N N N O S E O O E E S S O S E S O N O 0 
-13 -10 E O O O S O N S S S E E E N E N N E O N 0 
-10 -13 O O S E S N O E O N S E N O E N O N N N 0 
7 -9 S E S O N O O S N O E E O S O S E E S O 0 
-11 -1 O S E O E S O S E S E O N O S S O O N N 0 
1 -6 E N E S O N O S S O N N N O N N E S O O 0 
16 -9 N E E S S O E E E O E E O E E S S N N O 0 
3 -20 N N S E E S N E S N N S O N O N S N S S 0 
-12 -13 S S N N E E N S N N S S S O E S E S E E 0 
-4 -6 N E O O E O N N O E E S E O E S E N O S 0 
-12 -7 O S S E O O S N E N N S O N S S E S N S 0 
12 -19 E N S N S N O S E N N O N N O O E N E O 0 
2 -11 N N S E E O E O N S N N O N O O N S E O 0 
-18 -10 E O E O S E O O E N N E O S N S O E E E 0 
-2 -5 O N O S E E E S S S N N E N O O S N N O 0 
-4 2 O S S S O E N O O S N E S O O N S S S O 0 
-6 8 O O E E E S N E N E O N S E N S O O S S 0 
-8 -8 S E O S S S S E O E E O N S N S N N S O 0 
1 -17 O S E E E N N E S S N S E O O S S O N S 0 
-13 18 E E S N O S O N E E N E O O N N N N O S 0 
-13 16 N E N O O E O O E S N E E E S O E O E N 0 
8 -3 E O E N N O E N S E S N O O N N E S E E 0 
-4 -9 O O S S N S S O N N N S N N O O S N S E 0 
19 -7 O N N O O S S S O O O O E S N S O N N O 0 
6 -16 E E N E S S O S O S N N N O N N E S O E 0 
-3 0 S N S S E E O O O S N S O E N O O N E S 0 
12 -13 O E O E N O S S S E S O N O E N S S N N 0 
-20 12 N N O O O N E S O E E N N S S E O E S E 0 
1 4 O E S O E O E N N S O O N O N N O E S E 0 
-7 -16 O O S E N O E N O N S O S S S N N N O O 0 
18 2 O E S N O N O N S N N N E N S E S S E E 0 
17 -9 S E E S O N N O N S S E N E E E N N N O 0 
10 -15 N O E N S S S S E O E O S E O O O N N S 0 
12 -18 E O O S N S O N S O N S E N N O O E N O 0 
13 6 O N E O E S N N E S S N S N O N S N E S 0 
14 10 E S N O E E O N S S E O S E E O N O O N 0 
9 -12 S E S N E N E S S O S S S E E E O E E N 0 
18 0 S S N N E E O N E O S E E S S S N S O O 0 
-12 15 O N S E N O N O S N S E S N E S S S O N 0 
-20 -17 N E E N N E N O E O S E S O S S E E N N 0 
-9 -5 O S O N N N O O E S S S O N E N O E O E 0 
13 4 O N S N E N N N N S E O N S E O O O S N 0 
-15 -9 E O O O N E O O N S O S N E O E S S N N 0 
-10 12 O E O E O S N N E S S N N E O E S E N S 0 
8 -10 N N S O N S N S S O S O N N E E O N O S 0 
4 -10 N N S S E O S S E O O S N N E O S S E E 0 
13 14 O O S S S O S N O S E S S N S S O N E S 0 
1 15 N O E S O S O E E O N S S E O N O S O O 0 
